Material,aa,bb,cc,SG,C11,C12,Y_2D_a,Y_2D_b,G_a,G_b,B_a,B_b,V_a,V_b
Cd-S-Be-Te,8.207000,8.207000,16.723000,1.000000,12.700000,0.290000,12.700000,12.700000,6.210000,6.210000,6.500000,6.500000,0.020000,0.020000
Cd-Se-Ba-O,8.664000,8.664000,15.004000,1.000000,32.820000,23.770000,15.620000,15.620000,4.530000,4.530000,28.290000,28.290000,0.720000,0.720000
Cd-Se-Ba-S,9.205000,9.205000,13.292000,1.000000,-2.060000,37.070000,664.760000,664.760000,-19.570000,-19.570000,17.510000,17.510000,-17.990000,-17.990000
Cd-Se-Ba-Te,9.187000,9.187000,13.344000,1.000000,-17.730000,6.620000,-15.250000,-15.250000,-12.180000,-12.180000,-5.550000,-5.550000,-0.370000,-0.370000
Cd-Se-Be-O,6.522000,6.522000,26.476000,1.000000,-56.490000,10.000000,-54.710000,-54.710000,-33.240000,-33.240000,-23.240000,-23.240000,-0.180000,-0.180000
Cd-Se-Be-S,7.056000,7.056000,22.625000,1.000000,65.390000,16.750000,61.090000,61.090000,24.320000,24.320000,41.070000,41.070000,0.260000,0.260000
Cd-Se-Be-Te,8.309000,8.309000,16.315000,1.000000,22.910000,6.490000,21.080000,21.080000,8.210000,8.210000,14.700000,14.700000,0.280000,0.280000
Cd-Se-Mg-O,7.032000,7.032000,22.777000,1.000000,50.330000,7.210000,49.300000,49.300000,21.560000,21.560000,28.770000,28.770000,0.140000,0.140000
Cd-Se-Mg-S,8.390000,8.390000,15.999000,1.000000,-7.930000,22.940000,58.500000,58.500000,-15.430000,-15.430000,7.510000,7.510000,-2.900000,-2.900000
Cd-Se-Mg-Te,8.990000,8.990000,13.935000,1.000000,4.290000,9.590000,-17.140000,-17.140000,-2.650000,-2.650000,6.940000,6.940000,2.230000,2.230000
Cd-Se-Sr-O,8.288000,8.288000,16.399000,1.000000,12.260000,12.040000,0.420000,0.420000,0.110000,0.110000,12.150000,12.150000,0.980000,0.980000
Cd-Se-Sr-S,9.134000,9.134000,13.499000,1.000000,-4.050000,52.110000,666.170000,666.170000,-28.080000,-28.080000,24.030000,24.030000,-12.860000,-12.860000
Cd-Se-Sr-Te,9.095000,9.095000,13.617000,1.000000,-14.470000,0.100000,-14.470000,-14.470000,-7.290000,-7.290000,-7.190000,-7.190000,-0.010000,-0.010000
Cd-Se-Zn-O,7.178000,7.178000,21.857000,1.000000,-40.640000,-36.480000,-7.900000,-7.900000,-2.080000,-2.080000,-38.560000,-38.560000,0.900000,0.900000
Cd-Se-Zn-S,8.107000,8.107000,17.139000,1.000000,16.140000,0.060000,16.140000,16.140000,8.040000,8.040000,8.100000,8.100000,0.000000,0.000000
Cd-Se-Zn-Te,8.695000,8.695000,14.896000,1.000000,32.180000,4.830000,31.450000,31.450000,13.670000,13.670000,18.510000,18.510000,0.150000,0.150000
Cd-S-Mg-O,7.323000,7.323000,21.004000,1.000000,-92.900000,-56.740000,-58.240000,-58.240000,-18.080000,-18.080000,-74.820000,-74.820000,0.610000,0.610000
Cd-S-Mg-Se,8.510000,8.510000,15.552000,1.000000,15.550000,39.050000,-82.570000,-82.570000,-11.750000,-11.750000,27.300000,27.300000,2.510000,2.510000
